"No INV,Item,#Jumlah PAX,#Harga/Pax,# Sub Total,Catatan Tambahan"
"INV/2025/05-VE-0001,Vallet,1,500.000,500.000,"
"INV/2025/02-VE-0005,Catering SueCharge,1,1.500.000,1.500.000,"
"INV/2025/02-VE-0005,Free 1 Duo Serenity Premium BF (Honeymoon Decoration),0,Rp0,0,"
"INV/2025/02-VE-0005,Free 1 Compact Room with BF,0,Rp0,0,"
"INV/2024/12-VE-0006,Charge Catering,270,Rp0,0,charge catering buffet bukan harga perorangan; tapi paket"
"INV/2024/12-VE-0006,Free 1 Duo Serenity Premium,1,Rp0,0,"
"INV/2025/05-VE-0001,Free 1 Compact Room,1,0,0,"
"INV/2024/12-VE-0006,,,,0,"
"INV/2024/12-VE-0008,Premium Buffet,125,Rp110.000,13.750.000,"
"INV/2024/12-VE-0008,Stall Lontong Kikil,75,Rp20.000,1.500.000,total harga tasya ini dikurangi 1jt dari dp; jadi dia pelunasannya bayar 16.350 aja"
"INV/2024/12-VE-0008,Stall Bakso,75,Rp20.000,1.500.000,"
"INV/2024/12-VE-0008,Vallet,1,Rp500.000,500.000,"
"INV/2024/12-VE-0008,Bridal room Duo serenity Premiun (Breakfast),1,Rp0,0,"
"INV/2024/12-VE-0008,Additional Chairs,10,Rp10.000,100.000,"
"INV/2024/12-VE-0008,Compact Duo (breakfast),1,Rp0,0,"
"INV/2025/02-VE-0009,Charge catering luar,1,Rp2.000.000,2.000.000,"
"INV/2025/02-VE-0009,Additional extend 2 hours,2,Rp500.000,1.000.000,"
"INV/2025/02-VE-0009,Free 1 Duo serenity Premium,1,Rp0,0,"
"INV/2024/11-VE-0010,Free Duo Serenity Premium Inc Breakfast Free Valet 4 Jam Penggunaan,1,Rp0,0,"
"INV/2024/11-VE-0010,Corkage,250,Rp8.000,2.000.000,"
"INV/2025/04-VE-0002,Additional 50 pax,50,88.000,4.400.000,"
"INV/2025/04-VE-0002,Vallet,1,500.000,500.000,"
"INV/2025/03-VE-0003,Social Event,100,Rp85.000,8.500.000,"
"INV/2025/03-VE-0003,Vallet,1,Rp500.000,500.000,"
"INV/2025/03-VE-0003,Free 1 kamar Compact Duo,1,Rp0,0,"
"INV/2025/03-VE-0003,Free Test Food 1x (4 pax),1,Rp0,0,"
"INV/2025/03-VE-0003,Additional 60pax,60,85.000,5.100.000,"
"INV/2025/03-VE-0003,Additional 150 Stall Bakso,150,Rp20.000,3.000.000,"
"INV/2025/03-VE-0003,Additional 200 Lontong Kikil,200,Rp20.000,4.000.000,"
"INV/2025/03-VE-0003,Additional 100 Siomay,100,Rp20.000,2.000.000,"
"INV/2025/01-VE-0004,Vallet,1,Rp500.000,500.000,"
"INV/2025/02-VE-0005,FREE  - 1 room duo serenity premium + Honeymoon decoration (BF) - 1 room Compact  - Undangan digital - Balon 30 pcs,1,0,0,"
"INV/2025/03-VE-0011,Catering Surcharge 200 pax,1,Rp2.000.000,2.000.000,"
"INV/2025/03-VE-0011,Additional Time 1 hour,1,Rp500.000,500.000,"
"INV/2025/03-VE-0011,Charge Gubukan Menyusul (Rp.5000/pax),150,5.000,750.000,"
"INV/2025/03-VE-0011,Free 1 Kamar Duo Serenity,1,,0,"
"INV/2025/03-VE-0012,External Catering Surcharge 400 pax,1,Rp2.500.000,2.500.000,"
"INV/2025/03-VE-0012,Additional 1 hour,1,Rp500.000,500.000,"
"INV/2025/03-VE-0012,Free 1 kamar Duo Serenity Premium Inc BF,1,Rp0,0,"
"INV/2025/04-VE-0013,FREE  1 room duo serenity premium + Honeymoon decoration with Breakfast,1,Rp0,0,"
"INV/2025/04-VE-0013,Additional buffet,50,Rp88.000,4.400.000,"
"INV/2025/04-VE-0015,Catering Surcharge (250pax),1,Rp2.000.000,2.000.000,"
"INV/2025/04-VE-0015,Free 1 Room Duo Serenity Premium + Breakfast 1 Night,1,Rp0,0,"
"INV/2025/04-VE-0016,Charge external catering 200 pax,1,Rp2.000.000,2.000.000,"
"INV/2025/04-VE-0016,Free 1 Kamar Serenity Premium in BF,1,Rp0,0,"
"INV/2025/05-VE-0017,Premium menu,150,Rp110.000,16.500.000,"
"INV/2025/05-VE-0017,Vallet,1,Rp500.000,500.000,"
"INV/2025/05-VE-0017,Additional Stall Bakso,50,20.000,1.000.000,"
"INV/2025/05-VE-0017,Add 1 Room Duo Serenity Premium Extend + BF (28 - 29 Juni),1,Rp500.000,500.000,"
"INV/2025/05-VE-0017,Add Honeymoon decor Free kamar 28 Juni 2025,1,100.000,100.000,"
"INV/2025/05-VE-0017,Free 1 Room Duo Serenity Premium +BF 1 Night,1,Rp0,0,"
"INV/2024/11-VE-0018,Free Voucher compact duo BF (weekdays),1,0,0,"
"INV/2025/05-VE-0001,Additional 10 pax,10,Rp125.000,1.250.000,"
"INV/2025/02-VE-0019,FREE  - 1 room duo serenity premium + Honeymoon decoration (BF) - 1 room duo serenity inc bf - 50 PAX gubukan - Undangan digital - Balon 30 pcs,Rp1,Rp0,0,"
"INV/2024/09-VE-0020,Corkage,Rp1,Rp1.500.000,1.500.000,"
"INV/2025/02-VE-0021,Basic Package Menu - Nasi Putih  - Soup - Olahan Sayur - Olahan Mie - Olahan Ayam atau Olahan Ikan - Slice Fruit - Pudding - Mineral Water - Juice - Kerupuk - Acar - Sambel,Rp1,Rp0,0,"
"INV/2025/02-VE-0021,Vallet Parkir,Rp1,Rp500.000,500.000,"
"INV/2025/02-VE-0021,Free room Compact Duo,Rp1,Rp0,0,"
"INV/2024/09-VE-0020,Free Wedding Showcase 1 Duo Serenity Room Only 1 Compact Room Only,Rp1,Rp0,0,"
"INV/2024/12-VE-0022,Gubukan Siomay,Rp50,Rp20.000,1.000.000,"
"INV/2024/12-VE-0022,Gubukan Lontong Kikil,Rp50,Rp20.000,1.000.000,"
